name,vid,description,tid,parent
ATS,keywords,,856,
incentives,keywords,,857,
SmartTrips to School,keywords,,858,
encouragement,keywords,,859,
TDM,keywords,,860,
fatal,keywords,,875,
fatalities,keywords,,876,
crashes,keywords,,877,
High Crash Intersections,keywords,,878,
HCI,keywords,,879,
High Crash Network,keywords,,880,
HCN,keywords,,881,
fixed speed safety camera,keywords,,882,
automated enforcement,keywords,,883,
photo enforcement,keywords,,884,
speeding,keywords,,885,
Feb.,reporting_month,,806,
Mar.,reporting_month,,807,
Apr.,reporting_month,,808,
May.,reporting_month,,809,
Jun.,reporting_month,,810,
Jul.,reporting_month,,811,
Aug.,reporting_month,,812,
Sept.,reporting_month,,813,
Oct.,reporting_month,,814,
Nov.,reporting_month,,815,
Dec.,reporting_month,,816,
Right of way closure,keywords,,886,
In Use - Change Proposed,status,,887,
CY2018,reporting_period,,841,843
CY2019,reporting_period,,840,842
CY2020,reporting_period,,845,844
FY19: 7/18-6/19,reporting_period,,846,843
FY20: 7/19-6/20,reporting_period,,838,842
FY21: 7/20-6/21,reporting_period,,839,844
CY2021,reporting_period,,896,895
FY22: 7/21-6/22,reporting_period,,897,895
Safety,strategic_plan,,771,
Moving People & Goods,strategic_plan,Mobility,770,
Asset Management,strategic_plan,,772,
Funds Management,program_area,,898,789
Administration and Support,program_area,,789,
Equity,strategic_plan,,1016,
Climate,strategic_plan,,1022,
Transportation Safety,program_area,,901,790
Organizational Development,strategic_plan,,992,
Up,direction,,1026,
Service Request SQL Database,database,The Service Request system stores all data in the Service Request SQL Database. Data for this metric is derived from the Service Request UI which interfaces with the Service Request SQL Database.,1028,
Streets and Signs,program_area,,906,791
Parking Garages,program_area,,909,792
Project Development,program_area,,911,793
Parking Enforcement,program_area,,910,792
On-Street Parking,program_area,,908,792
Streetlights and Signals,program_area,,904,791
"Sidewalks, Bridges and Structures",program_area,,905,791
Environmental Systems,program_area,,907,791
Emergency Prep and Response,program_area,,903,791
Active or Shared Transportation Options,program_area,,900,790
Support Services,program_area,,899,789
Asset Management,program_area,,914,794
Utility Permitting,program_area,,919,795
Funds Management,program_area,,921,898
Employee Support,program_area,,922,899
Portland Aerial Tram,program_area,,923,900
Safety Infrastructure and Programs,program_area,,925,901
Community Response Efforts,program_area,,934,903
Sidewalks and Ramps,program_area,,935,905
"SSL Design, Operations, Maintenance, and Inspections",program_area,,936,904
Sewer Repair,program_area,,941,907
Street Cleaning,program_area,,942,906
Parking Permit Operations,program_area,,948,908
Parking Garage - Operations,program_area,,950,909
Derelict RV,program_area,,952,910
Project Development and Delivery,program_area,,957,911
Sidewalk Posting & Repair,program_area,,958,912
Program Development: Policy to Operations,program_area,,959,913
"Driveway and Sidewalk Permitting, Engineering, Inspection & Construction",program_area,,961,914
Construction Engineering & Inspection (Development),program_area,,963,915
Temporary Street Use Permitting,program_area,,964,916
Temporary Traffic Control,program_area,,966,965
Acquisition of Right of Way,program_area,,967,917
Coordination and Compliance,program_area,,969,918
Utility Permitting & Inspection,program_area,,971,919
New Mobility Innovation and Implementation,program_area,,927,900
Bikeshare Operations,program_area,,924,900
Emergency Preparedness and Response,program_area,,933,903
RV Demolition Program,program_area,,930,900
Sewer Preventative Maintenance,program_area,,940,907
Green Spaces,program_area,,938,905
Bridges and Structures,program_area,,932,905
Private for Hire Transportation,program_area,,929,900
Streetcar Service,program_area,,928,900
Temporary Traffic Control,program_area,,965,795
Temporary Street Use Permitting,program_area,,916,795
"Leasing, Vacation, and Property Management",program_area,,970,918
Community Activation and Use,program_area,,968,918
TDM Policy and Programs,program_area,,926,900
Right of Way Use,program_area,,918,795
Construction Engineering & Inspection (Development),program_area,,915,795
Asset Management,program_area,,917,795
Towing Administration: Agency Tow Services & Private Property Impound,program_area,,931,900
Street Maintenance and Repair,program_area,,945,906
Street Pavement Preservation,program_area,,943,906
Signs,program_area,,944,906
Parking Meter Districts,program_area,,947,908
Parking Management Plans,program_area,,946,908
Parking Enforcement & Towing,program_area,,953,910
Abandoned Auto,program_area,,951,910
Private Project Development and Permit Delivery,program_area,,960,914
Parking Garage - Maintenance,program_area,,949,909
Business Support,program_area,,920,899
Pavement Markings,program_area,,939,906
Land Development: Review & Impact Mitigation,program_area,,962,914
Sidewalk Posting & Repair,program_area,,912,794
Policy Planning,program_area,,956,911
Complete Streets,program_area,,955,911
Area and Project Planning,program_area,,954,911
Program Development: Policy to Operations,program_area,,913,794
Parking,program_area,,792,
Regulatory and Permitting,program_area,,794,
Planning and Engineering,program_area,,793,
Operations and Maintenance,program_area,,791,
Mobility,program_area,,790,
Right of Way Management,program_area,,795,
VMT,keywords,Vehicle Miles Traveled,985,
Right-of-way,keywords,,987,
serious injuries,keywords,,988,
walk,keywords,,989,
work from home,keywords,,990,
Down,direction,,1027,
